UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2936,L18129,L,298.1,310.1,1832,24.2,166,0,0,0,0,0,0
2937,M33118,M,303.0,311.4,1666,46.4,94,0,0,0,0,0,0
2938,L10443,L,302.0,311.8,1523,52.4,220,1,0,0,0,1,0
2939,H37041,H,302.5,312.5,1724,39.4,48,0,0,0,0,0,0
2940,L99379,L,298.1,308.4,1745,48.0,174,0,0,0,0,0,0
2941,L31053,L,296.9,305.5,1419,34.4,35,0,0,0,0,0,0
2942,M47204,M,300.3,310.4,1710,40.3,21,0,0,0,0,0,0
2943,L52240,L,300.7,309.0,1498,37.2,214,0,0,0,0,0,0
2944,M71102,M,300.7,310.8,1519,44.5,76,0,0,0,0,0,0
2945,M18291,M,303.0,312.3,1563,38.9,226,0,0,0,0,0,0
2946,L26285,L,296.5,305.7,1469,23.2,171,0,0,0,0,0,0
2947,L71589,L,301.7,312.6,1460,32.7,194,0,0,0,0,0,0
2948,L23944,L,297.8,307.6,1714,59.2,188,1,0,0,0,1,0
2949,L98876,L,301.7,312.2,1264,45.6,244,1,0,0,0,1,0
2950,H64391,H,299.1,309.6,1347,19.0,242,0,0,0,0,0,0
2951,M11607,M,298.4,309.6,1658,51.9,136,0,0,0,0,0,0
2952,M12953,M,298.8,307.6,1524,28.4,47,0,0,0,0,0,0
2953,M54941,M,297.1,308.0,1715,48.8,17,0,0,0,0,0,0
2954,L81469,L,300.1,310.1,1602,52.8,89,0,0,0,0,0,0
2955,H86922,H,298.5,308.1,1299,40.9,125,0,0,0,0,0,0
2956,M71683,M,301.6,310.4,1549,30.0,156,0,0,0,0,0,0
2957,M80218,M,301.3,311.9,1633,32.8,175,0,0,0,0,0,0
2958,M21154,M,303.4,312.5,1579,46.2,139,0,0,0,0,0,0
2959,L19047,L,300.7,311.3,1454,28.6,166,0,0,0,0,0,0
2960,M98529,M,301.0,313.0,1488,34.1,150,0,0,0,0,0,0
2961,L85874,L,302.8,313.8,1437,45.0,18,0,0,0,0,0,0
2962,L24323,L,298.7,310.1,1300,33.4,23,0,0,0,0,0,0
2963,L47693,L,297.0,306.3,1276,54.1,235,1,0,0,0,1,0
2964,H68730,H,300.4,311.2,1607,29.6,106,0,0,0,0,0,0
2965,M99170,M,297.2,306.0,1382,7.1,43,0,0,0,0,0,0
2966,M36292,M,304.9,314.7,1641,32.1,93,0,0,0,0,0,0
2967,M55111,M,302.9,314.7,1431,43.0,94,0,0,0,0,0,0
2968,L85453,L,304.3,313.7,1302,48.5,210,1,1,0,0,0,0
2969,H85681,H,300.1,311.2,1464,35.8,212,0,0,0,0,0,0
2970,L49491,L,301.1,312.1,1912,37.1,48,0,0,0,0,0,0
2971,L59336,L,299.1,310.2,1520,39.6,110,0,0,0,0,0,0
2972,L26905,L,301.8,310.5,1653,57.2,201,1,0,0,0,1,0
2973,M40273,M,297.6,308.1,1568,43.7,3,0,0,0,0,0,0
2974,M36234,M,294.9,304.8,1286,35.0,61,0,0,0,0,0,0
2975,L88885,L,298.4,309.5,1797,60.3,17,0,0,0,0,0,0
2976,L76538,L,297.1,305.4,1493,40.0,187,0,0,0,0,0,0
2977,M42573,M,303.0,313.3,1303,19.2,108,0,0,0,0,0,0
2978,L74320,L,303.6,313.9,1446,26.1,127,0,0,0,0,0,0
2979,M21330,M,297.2,305.2,1501,45.5,125,0,0,0,0,0,0
2980,H90516,H,302.6,311.7,1672,22.2,63,0,0,0,0,0,0
2981,L82553,L,301.9,310.1,1416,44.9,100,0,0,0,0,0,0
2982,L51353,L,296.9,306.1,2007,32.1,147,0,0,0,0,0,0
2983,M26011,M,299.2,309.8,1370,51.6,179,0,0,0,0,0,0
2984,M93537,M,298.8,309.0,1647,41.6,35,0,0,0,0,0,0
2985,L70985,L,301.5,311.7,1184,23.6,189,0,0,0,0,0,0
2986,H27044,H,297.5,306.5,1515,49.0,47,0,0,0,0,0,0
2987,L48292,L,299.8,310.9,1603,53.5,95,0,0,0,0,0,0
2988,L15250,L,298.6,308.6,1337,27.2,244,0,0,0,0,0,0
2989,M33289,M,300.9,311.0,1806,31.9,56,0,0,0,0,0,0
2990,M43087,M,299.6,310.5,1615,44.9,56,0,0,0,0,0,0
2991,L85952,L,298.9,307.9,1481,46.7,243,1,1,0,0,1,0
2992,M46368,M,299.6,309.8,1613,63.3,90,0,0,0,0,0,0
2993,L80815,L,304.1,314.5,1431,48.8,168,0,0,0,0,0,0
2994,L71040,L,299.2,308.6,1761,63.8,215,1,0,0,0,1,0
2995,L68900,L,297.9,308.6,1719,40.1,220,1,1,0,0,0,0
2996,M25494,M,301.2,311.6,1604,43.7,52,0,0,0,0,0,0
2997,L55166,L,299.7,309.6,1647,34.2,87,0,0,0,0,0,0
2998,L35333,L,297.2,307.0,1273,34.7,61,0,0,0,0,0,0
2999,L43050,L,304.5,315.0,1800,41.4,156,0,0,0,0,0,0
3000,M89566,M,299.3,310.1,1520,34.1,38,0,0,0,0,0,0
3001,M98257,M,299.2,309.3,1721,14.4,81,0,0,0,0,0,0
3002,M58070,M,300.3,311.4,1672,33.3,9,0,0,0,0,0,0
3003,L15166,L,303.5,314.1,1718,50.6,238,1,0,0,0,1,0
3004,M17121,M,296.6,304.9,1350,40.6,188,1,0,1,0,0,0
3005,L24677,L,300.6,309.1,1373,40.7,55,1,0,1,0,0,0
3006,M66561,M,304.2,315.4,1940,32.3,8,0,0,0,0,0,0
3007,H91909,H,300.3,310.0,1266,43.2,177,0,0,0,0,0,0
3008,L97409,L,297.5,307.7,1341,56.4,202,1,0,0,0,1,0
3009,M47664,M,298.8,309.9,1545,53.9,11,0,0,0,0,0,0
3010,L11293,L,300.4,310.4,1546,43.5,129,0,0,0,0,0,0
3011,L32443,L,302.7,312.7,1441,31.4,217,0,0,0,0,0,0
3012,L59212,L,299.3,308.5,1648,57.5,72,0,0,0,0,0,0
3013,L94131,L,301.7,312.0,1699,50.5,16,0,0,0,0,0,0
3014,L85276,L,297.1,307.7,1534,25.2,34,0,0,0,0,0,0
3015,M22559,M,297.1,306.5,1489,22.4,173,0,0,0,0,0,0
3016,L75231,L,299.0,308.1,1534,25.7,194,0,0,0,0,0,0
3017,M49044,M,302.9,315.5,1448,35.0,197,0,0,0,0,0,0
3018,L31747,L,300.1,310.0,1234,48.9,234,1,0,0,0,1,0
3019,L83509,L,300.6,309.9,1591,48.6,86,0,0,0,0,0,0
3020,M90869,M,300.6,311.3,1675,43.3,34,0,0,0,0,0,0
3021,L40129,L,302.2,312.2,1510,38.5,206,0,0,0,0,0,0
3022,L10037,L,298.8,307.7,1132,63.5,199,1,0,0,1,1,0
3023,M58503,M,301.4,311.9,1435,40.2,223,0,0,0,0,0,0
3024,L38207,L,298.3,307.5,1700,39.0,33,0,0,0,0,0,0
3025,L43241,L,304.0,315.5,1280,34.8,10,0,0,0,0,0,0
3026,L10058,L,298.4,308.9,1662,61.9,109,0,0,0,0,0,0
3027,H78172,H,298.2,308.0,1458,47.1,130,0,0,0,0,0,0
3028,M24834,M,301.1,311.2,1534,29.6,220,0,0,0,0,0,0
3029,M91113,M,300.2,311.1,1415,28.4,9,0,0,0,0,0,0
3030,M37190,M,300.7,310.8,1334,23.2,81,0,0,0,0,0,0
3031,L82832,L,300.5,312.6,1794,38.9,81,0,0,0,0,0,0
3032,L31383,L,297.8,309.0,1684,25.0,11,0,0,0,0,0,0
3033,M34660,M,303.2,313.7,1653,28.3,218,0,0,0,0,0,0
3034,L12674,L,301.8,310.9,1700,50.5,117,0,0,0,0,0,0
3035,L32820,L,302.7,312.6,1627,48.8,178,0,0,0,0,0,0
3036,L95040,L,298.9,309.4,1706,54.8,82,0,0,0,0,0,0
3037,L35666,L,300.8,310.0,1419,25.3,232,0,0,0,0,0,0
3038,H53794,H,300.4,311.7,1784,29.9,96,0,0,0,0,0,0
3039,L12076,L,302.3,311.3,1768,33.6,88,0,0,0,0,0,0
3040,L74854,L,302.3,311.7,1606,56.2,107,0,0,0,0,0,0
3041,L62342,L,300.4,309.8,1486,40.5,186,0,0,0,0,0,0
3042,H47555,H,297.0,307.7,1318,58.0,1,0,0,0,0,0,0
3043,L65208,L,303.6,312.8,1578,46.1,1,0,0,0,0,0,0
3044,L42406,L,301.1,309.3,1839,38.8,132,0,0,0,0,0,0
3045,M71572,M,298.8,309.9,1330,45.6,149,0,0,0,0,0,0
3046,M50262,M,300.8,310.4,1720,22.7,247,0,0,0,0,0,0
3047,L96661,L,297.0,305.9,1453,19.4,160,0,0,0,0,0,0
3048,L33216,L,302.1,311.4,1468,42.5,235,0,0,0,0,0,0
3049,L78117,L,297.1,308.8,1327,40.0,68,0,0,0,0,0,0
3050,L91136,L,299.6,308.9,1403,59.2,155,0,0,0,0,0,0
3051,L40284,L,300.5,310.4,1653,26.2,185,0,0,0,0,0,0
3052,L30171,L,302.1,311.6,1676,43.6,141,0,0,0,0,0,0
3053,L24333,L,300.2,309.0,1580,46.8,103,0,0,0,0,0,0
3054,L40535,L,301.3,310.5,1448,43.3,106,0,0,0,0,0,0
3055,M99023,M,299.9,308.6,1340,50.8,49,0,0,0,0,0,0
3056,H85940,H,299.9,310.9,1549,33.6,201,0,0,0,0,0,0
3057,M43700,M,300.2,310.3,1472,48.2,168,0,0,0,0,0,0
3058,L93583,L,299.6,312.1,1575,45.5,142,0,0,0,0,0,0
3059,L51516,L,296.6,305.9,1480,51.5,201,0,0,0,0,0,0
3060,H25577,H,298.5,307.6,1485,34.8,67,0,0,0,0,0,0
3061,L99834,L,300.5,312.0,1566,28.1,42,0,0,0,0,0,0
3062,L25015,L,299.5,310.6,1601,33.6,182,0,0,0,0,0,0
3063,L31236,L,299.7,310.1,1757,29.3,48,0,0,0,0,0,0
3064,M76640,M,299.4,308.2,1477,34.3,145,0,0,0,0,0,0
3065,M93190,M,298.3,310.0,1635,36.6,80,0,0,0,0,0,0
3066,L55704,L,299.0,308.9,1860,30.8,94,0,0,0,0,0,0
3067,L52369,L,299.4,309.0,1640,40.0,247,0,0,0,0,0,0
3068,H13646,H,300.0,311.2,1746,28.2,224,0,0,0,0,0,0
3069,L97007,L,300.8,310.8,1426,39.2,152,0,0,0,0,0,0
3070,M35906,M,299.6,308.5,1409,35.0,139,0,0,0,0,0,0
3071,M96643,M,297.9,308.0,1509,38.7,182,0,0,0,0,0,0
3072,M57728,M,297.2,306.4,1528,43.8,46,0,0,0,0,0,0
3073,L24878,L,305.2,312.2,1729,35.7,212,0,0,0,0,0,0
3074,L19145,L,297.7,306.9,1407,32.2,208,0,0,0,0,0,0
3075,L98578,L,299.0,308.4,1522,33.4,83,0,0,0,0,0,0
3076,M28226,M,301.0,309.9,1730,50.1,92,0,0,0,0,0,0
3077,H12802,H,300.7,311.3,1576,52.6,66,0,0,0,0,0,0
3078,L34119,L,301.0,310.3,1536,34.8,198,0,0,0,0,0,0
3079,L73560,L,299.1,309.6,1580,38.4,191,0,0,0,0,0,0
3080,H67353,H,300.5,309.2,1336,22.9,59,0,0,0,0,0,0
3081,M72126,M,300.1,311.0,1333,38.1,96,0,0,0,0,0,0
3082,M81641,M,299.4,308.1,1253,25.4,217,0,0,0,0,0,0
3083,L61712,L,300.5,308.1,1574,35.0,211,0,0,0,0,0,0
3084,L62189,L,302.1,313.3,1702,50.6,170,0,0,0,0,0,0
3085,M67784,M,300.0,309.1,1675,24.9,164,0,0,0,0,0,0
3086,M78285,M,300.0,311.7,1742,30.9,159,0,0,0,0,0,0
3087,L52949,L,302.1,312.7,1798,31.0,226,0,0,0,0,0,0
3088,L44129,L,301.9,312.7,1563,23.3,84,0,0,0,0,0,0
3089,L34512,L,303.2,314.2,1526,48.5,179,0,0,0,0,0,0
3090,L89031,L,296.5,306.6,1802,42.7,52,0,0,0,0,0,0
3091,L73554,L,301.8,311.9,1412,57.9,104,0,0,0,0,0,0
3092,H12064,H,301.2,312.5,1327,30.0,183,0,0,0,0,0,0
3093,L61567,L,298.2,308.3,1477,22.2,71,0,0,0,0,0,0
3094,M40011,M,300.5,309.8,1456,49.3,129,0,0,0,0,0,0
3095,L81152,L,302.1,312.7,1546,36.3,242,0,0,0,0,0,0
3096,M83511,M,298.3,306.2,1385,35.3,175,0,0,0,0,0,0
3097,H20960,H,300.9,312.2,1604,54.6,15,0,0,0,0,0,0
3098,L68920,L,301.7,313.1,1436,41.6,90,0,0,0,0,0,0
3099,L31387,L,297.9,309.1,1757,48.9,163,0,0,0,0,0,0
3100,L25324,L,299.7,310.9,1324,33.7,137,0,0,0,0,0,0
3101,L73960,L,300.6,310.5,1513,32.7,91,0,0,0,0,0,0
3102,M81779,M,298.4,308.3,1478,36.3,80,0,0,0,0,0,0
3103,H42628,H,298.2,307.0,1579,46.6,125,0,0,0,0,0,0
3104,L85096,L,299.7,311.5,1703,40.4,88,0,0,0,0,0,0
3105,L57452,L,301.6,311.1,1585,44.6,206,0,0,0,0,0,0
3106,L51098,L,301.3,311.6,1514,14.0,145,0,0,0,0,0,0
3107,M80459,M,298.3,308.5,1661,21.2,91,0,0,0,0,0,0
3108,L49235,L,301.3,310.0,1688,18.4,1,0,0,0,0,0,0
3109,L96861,L,298.3,306.6,1586,36.1,127,0,0,0,0,0,0
3110,M37949,M,296.8,306.8,1607,26.0,39,0,0,0,0,0,0
3111,M32821,M,299.3,308.8,1653,56.7,41,0,0,0,0,0,0
3112,L81612,L,302.2,312.2,1243,39.7,222,0,0,0,0,0,0
3113,M32032,M,301.3,312.4,1475,42.1,94,0,0,0,0,0,0
3114,L83537,L,300.0,310.2,1605,29.0,152,0,0,0,0,0,0
3115,L25303,L,299.2,309.9,1485,28.7,128,0,0,0,0,0,0
3116,M91993,M,299.2,309.7,1486,55.4,209,0,0,0,0,0,0
3117,M22303,M,300.2,309.9,1605,57.7,15,0,0,0,0,0,0
3118,L60701,L,297.9,306.9,1609,44.0,169,0,0,0,0,0,0
3119,L60511,L,299.3,309.6,1621,19.7,164,0,0,0,0,0,0
3120,L90664,L,299.6,309.7,1396,35.7,104,0,0,0,0,0,0
3121,L28280,L,297.3,308.2,1284,43.0,233,0,0,0,0,0,0
3122,L49427,L,298.3,308.2,1681,37.6,36,0,0,0,0,0,0
3123,L16967,L,300.8,310.5,1405,18.8,198,0,0,0,0,0,0
3124,L16661,L,300.0,309.8,1392,58.3,133,0,0,0,0,0,0
3125,M87952,M,299.4,308.5,1376,31.6,205,0,0,0,0,0,0
3126,M76046,M,298.2,309.6,1744,26.5,149,0,0,0,0,0,0
3127,M45200,M,303.2,314.3,1575,39.6,113,0,0,0,0,0,0
3128,L77442,L,298.3,307.1,1599,51.7,94,0,0,0,0,0,0
3129,H71671,H,300.5,311.3,1661,45.0,236,0,0,0,0,0,0
3130,M68168,M,299.0,307.2,1530,26.8,201,1,1,0,0,0,0
3131,M58322,M,300.1,311.1,1719,25.2,173,0,0,0,0,0,0
3132,M91984,M,300.9,310.2,1323,18.1,39,0,0,0,0,0,0
3133,H47696,H,297.3,307.6,1343,37.0,53,0,0,0,0,0,0
3134,L80246,L,300.0,308.1,1333,35.2,45,1,0,1,0,0,0
3135,L48892,L,302.4,311.2,1613,45.0,163,0,0,0,0,0,0
3136,M25583,M,303.5,314.0,1628,33.1,118,0,0,0,0,0,0
3137,M92720,M,299.7,309.0,1453,49.6,40,0,0,0,0,0,0
3138,M65215,M,300.1,309.2,1496,46.4,246,0,0,0,0,0,0
3139,L34853,L,304.4,315.8,1764,32.6,229,0,0,0,0,0,0
3140,L16109,L,302.3,314.5,1413,43.8,97,0,0,0,0,0,0
3141,L69757,L,298.8,309.7,1590,53.1,66,0,0,0,0,0,0
3142,H16659,H,298.8,307.7,1415,30.3,125,0,0,0,0,0,0
3143,L11238,L,301.9,313.7,1734,37.8,22,0,0,0,0,0,0
3144,L25064,L,298.0,306.4,1650,37.6,170,0,0,0,0,0,0
3145,L41115,L,302.2,311.9,1287,36.3,60,0,0,0,0,0,0
3146,L41952,L,300.7,310.7,1491,47.9,16,0,0,0,0,0,0
3147,M15620,M,301.0,313.0,1165,48.7,220,1,1,0,0,0,0
3148,M54258,M,299.5,310.4,1699,44.0,192,0,0,0,0,0,0
3149,M14470,M,298.7,308.3,1904,43.5,2,0,0,0,0,0,0
3150,L32003,L,302.9,312.0,1147,34.3,77,0,0,0,0,0,0
3151,M37571,M,299.5,310.5,1282,43.2,202,0,0,0,0,0,0
3152,L34668,L,299.2,308.6,1567,27.1,29,0,0,0,0,0,0
3153,M87259,M,299.8,310.1,1534,64.6,20,0,0,0,0,0,0
3154,L42046,L,300.4,309.0,1464,53.3,143,0,0,0,0,0,0
3155,L80977,L,297.9,308.5,1226,49.4,237,1,0,0,0,1,0
3156,M87255,M,298.9,309.4,1595,44.0,61,0,0,0,0,0,0
3157,H15397,H,298.8,307.5,1696,44.0,59,0,0,0,0,0,0
3158,L93481,L,301.7,312.7,2047,23.1,114,0,0,0,0,0,0
3159,M32233,M,298.2,308.8,1772,27.4,136,0,0,0,0,0,0
3160,L93336,L,296.5,307.2,1305,28.6,246,1,1,0,0,0,0
3161,L70308,L,296.1,305.7,1535,40.5,65,0,0,0,0,0,0
3162,L79726,L,297.1,307.2,1643,37.1,153,0,0,0,0,0,0
3163,L73219,L,302.7,312.8,1414,48.0,105,0,0,0,0,0,0
3164,L11130,L,300.0,309.9,1677,30.3,66,0,0,0,0,0,0
3165,L24071,L,301.0,311.2,1663,50.1,14,0,0,0,0,0,0
3166,L95517,L,301.1,312.3,1759,31.7,11,0,0,0,0,0,0
3167,H12118,H,300.1,311.2,1681,35.7,18,0,0,0,0,0,0
3168,L10663,L,299.9,308.7,1589,48.8,232,1,1,0,0,1,0
3169,M72408,M,302.1,313.1,1423,44.9,13,0,0,0,0,0,0
3170,L61786,L,300.3,311.5,1306,27.4,142,0,0,0,0,0,0
3171,M91271,M,302.8,312.6,1577,50.5,86,0,0,0,0,0,0
3172,L29158,L,301.2,311.8,1465,40.8,10,0,0,0,0,0,0
3173,L41087,L,298.8,309.3,1483,18.6,62,0,0,0,0,0,0
3174,L98114,L,299.0,308.2,1738,31.5,42,0,0,0,0,0,0
3175,L63121,L,298.5,308.2,1783,35.8,194,0,0,0,0,0,0
3176,L29874,L,302.4,313.2,1316,28.3,170,0,0,0,0,0,0
3177,M93443,M,299.2,308.7,1500,53.3,128,0,0,0,0,0,0
3178,M50821,M,298.4,309.4,1460,36.2,131,0,0,0,0,0,0
3179,M70582,M,300.6,311.9,1594,44.5,84,0,0,0,0,0,0
3180,M32787,M,299.8,310.9,1132,42.0,24,0,0,0,0,0,0
3181,L74703,L,300.6,312.6,1276,46.9,83,0,0,0,0,0,0
3182,L31705,L,303.8,313.7,1516,56.6,73,0,0,0,0,0,0
3183,L79381,L,301.8,312.0,1678,46.6,209,0,0,0,0,0,0
3184,L54653,L,300.1,310.4,1551,57.3,224,1,0,0,0,1,0
3185,L92018,L,297.2,307.1,1658,46.9,52,0,0,0,0,0,0
3186,L96217,L,299.0,309.5,1573,41.2,162,0,0,0,0,0,0
3187,L42252,L,301.4,309.7,1766,43.1,152,0,0,0,0,0,0
3188,L83332,L,297.7,307.9,1803,13.8,130,0,0,0,0,0,0
3189,M82799,M,304.3,312.9,1401,35.4,178,0,0,0,0,0,0
3190,M72185,M,300.0,309.1,1696,38.5,177,0,0,0,0,0,0
3191,L88313,L,300.1,310.8,1628,44.3,12,0,0,0,0,0,0
3192,H51538,H,298.7,308.5,1986,39.6,34,0,0,0,0,0,0
3193,H30343,H,301.0,311.7,1395,43.2,216,0,0,0,0,0,0
3194,L90398,L,297.7,307.5,1517,26.7,182,0,0,0,0,0,0
3195,L51232,L,304.3,315.4,1353,24.1,145,0,0,0,0,0,0
3196,L63106,L,302.6,312.4,1363,28.1,178,0,0,0,0,0,0
3197,H91227,H,302.0,310.0,1607,55.5,29,0,0,0,0,0,0
3198,M63079,M,297.2,307.4,1574,27.3,39,0,0,0,0,0,0
3199,L35028,L,300.4,308.2,1634,32.0,109,0,0,0,0,0,0
3200,L52135,L,302.4,311.0,1631,40.9,29,0,0,0,0,0,0
3201,L41066,L,301.2,310.3,1495,24.0,185,0,0,0,0,0,0
3202,L93470,L,298.0,307.0,1494,31.2,87,0,0,0,0,0,0
3203,L30910,L,298.7,308.2,1364,46.6,89,0,0,0,0,0,0
3204,M17141,M,299.1,308.1,1412,35.5,64,0,0,0,0,0,0
3205,M55950,M,298.8,307.4,1527,56.7,96,0,0,0,0,0,0
3206,M65723,M,303.1,314.6,1573,23.0,71,0,0,0,0,0,0
3207,M26225,M,296.2,305.5,1665,36.5,11,0,0,0,0,0,0
3208,M97123,M,301.3,309.1,1646,35.5,135,0,0,0,0,0,0
3209,L42959,L,297.4,307.1,1816,39.8,202,0,0,0,0,0,0
3210,M59192,M,298.1,307.0,1363,27.7,77,0,0,0,0,0,0
3211,L89711,L,296.0,305.1,1496,34.1,17,0,0,0,0,0,0
3212,M20051,M,298.9,309.6,1379,47.8,235,1,1,0,0,0,0
3213,L81428,L,303.0,312.6,1766,37.2,103,0,0,0,0,0,0
3214,M13449,M,300.5,309.4,1448,29.2,64,0,0,0,0,0,0
3215,L51095,L,297.6,308.0,1744,60.6,212,1,0,0,0,1,0
3216,L87929,L,302.0,313.2,1798,40.4,137,0,0,0,0,0,0
3217,L39190,L,302.5,313.0,1612,46.0,36,0,0,0,0,0,0
3218,L36141,L,300.2,307.8,1590,47.5,28,0,0,0,0,0,0
3219,M33908,M,304.1,313.0,1544,39.2,173,0,0,0,0,0,0
3220,M42322,M,301.6,311.7,1481,32.0,103,0,0,0,0,0,0
3221,L60710,L,301.4,311.1,1459,41.9,215,0,0,0,0,0,0
3222,L24012,L,298.4,308.1,1511,32.9,121,0,0,0,0,0,0
3223,L44889,L,301.3,310.3,1864,43.6,43,0,0,0,0,0,0
3224,L27412,L,300.4,309.0,1351,38.3,163,1,0,1,0,0,0
3225,L34657,L,301.0,313.0,1574,50.2,17,0,0,0,0,0,0
3226,M15656,M,298.6,308.7,1665,28.5,78,0,0,0,0,0,0
3227,L18967,L,300.3,310.9,1487,47.1,159,0,0,0,0,0,0
3228,L94958,L,298.4,308.4,1612,46.0,229,0,0,0,0,0,0
3229,L25764,L,295.7,305.8,1268,37.5,234,0,0,0,0,0,0
3230,L25873,L,302.0,311.9,1775,47.2,108,0,0,0,0,0,0
3231,L61030,L,297.0,305.9,1740,44.1,19,0,0,0,0,0,0
3232,M77807,M,300.2,308.7,1520,46.5,33,0,0,0,0,0,0
3233,L11607,L,300.7,311.1,1380,45.9,72,0,0,0,0,0,0
3234,L29523,L,300.7,310.8,1679,40.4,168,0,0,0,0,0,0
3235,L58447,L,299.4,310.4,1332,34.0,246,0,0,0,0,0,0
3236,L59757,L,300.5,311.3,1358,33.8,97,0,0,0,0,0,0
3237,L79201,L,300.9,310.1,1528,37.8,162,0,0,0,0,0,0
3238,H91844,H,301.5,312.6,1809,48.3,184,0,0,0,0,0,0
3239,M81388,M,303.5,314.2,1652,46.2,119,0,0,0,0,0,0
3240,L15462,L,300.5,311.2,1422,49.9,26,0,0,0,0,0,0
3241,L41795,L,300.1,312.4,1236,50.9,233,1,0,0,0,1,0
3242,L79806,L,298.2,310.2,1545,37.7,17,0,0,0,0,0,0
3243,L58465,L,300.9,311.6,1583,59.4,148,0,0,0,0,0,0
3244,M71109,M,301.3,311.9,1524,38.9,145,0,0,0,0,0,0
3245,M60528,M,299.6,310.7,1861,35.0,154,0,0,0,0,0,0
3246,L46230,L,301.1,310.5,1514,43.2,222,0,0,0,0,0,0
3247,L58242,L,299.4,308.8,1129,44.7,155,0,0,0,0,0,0
3248,L75883,L,301.3,312.0,1465,32.5,96,0,0,0,0,0,0
3249,M11783,M,301.8,311.0,1619,38.3,248,0,0,0,0,0,0
3250,M38390,M,301.8,312.4,1607,35.4,142,0,0,0,0,0,0
3251,L18417,L,300.2,310.4,1506,41.3,172,0,0,0,0,0,0
3252,L82102,L,297.9,307.1,1476,47.8,46,0,0,0,0,0,0
3253,M27426,M,298.8,308.8,1180,37.3,118,0,0,0,0,0,0
3254,L40750,L,301.2,312.5,1553,45.6,35,0,0,0,0,0,0
3255,L68188,L,304.9,315.0,1477,26.1,18,0,0,0,0,0,0
3256,L20872,L,299.3,309.4,1582,48.8,98,0,0,0,0,0,0
3257,M58086,M,300.9,311.2,1625,35.4,223,0,0,0,0,0,0
3258,L76770,L,298.9,309.3,1760,35.2,44,0,0,0,0,0,0
3259,L93514,L,298.1,307.7,1366,43.9,102,0,0,0,0,0,0
3260,M98177,M,298.6,309.0,1306,44.4,249,1,1,0,0,0,0
3261,L44720,L,295.8,304.8,1435,38.8,56,0,0,0,0,0,0
3262,L28079,L,302.7,311.9,1406,31.0,75,0,0,0,0,0,0
3263,L27338,L,295.5,304.9,1390,35.1,118,0,0,0,0,0,0
3264,L13291,L,299.5,309.9,1796,40.8,156,0,0,0,0,0,0
3265,M84084,M,297.6,307.8,1564,44.8,225,0,0,0,0,0,0
3266,L59393,L,298.2,308.1,1891,31.7,15,0,0,0,0,0,0
3267,L79770,L,302.8,313.4,1537,33.5,149,0,0,0,0,0,0
3268,L36720,L,300.4,310.8,1328,42.5,71,0,0,0,0,0,0
3269,M23368,M,298.1,307.8,1393,39.1,54,0,0,0,0,0,0
3270,M64313,M,298.8,307.8,1721,41.4,139,0,0,0,0,0,0
3271,L57969,L,298.5,307.6,1335,13.9,225,0,0,0,0,0,0
3272,L58838,L,299.9,308.4,1637,37.0,143,0,0,0,0,0,0
3273,M18734,M,300.3,310.5,1474,48.4,54,0,0,0,0,0,0
3274,L22197,L,303.8,312.9,1371,33.8,46,0,0,0,0,0,0
3275,M78895,M,296.2,305.7,1786,44.7,72,0,0,0,0,0,0
3276,M66831,M,299.9,309.8,1432,27.9,26,0,0,0,0,0,0
3277,M68073,M,299.4,310.4,1389,24.3,110,0,0,0,0,0,0
3278,L82925,L,301.9,312.8,1523,44.1,98,0,0,0,0,0,0
3279,L90488,L,300.7,310.7,1447,39.4,138,0,0,0,0,0,0
3280,M94475,M,301.2,312.4,1934,36.6,210,1,1,0,0,0,0
3281,L60302,L,300.7,308.7,1727,48.3,94,0,0,0,0,0,0
3282,L25624,L,298.1,310.0,1432,36.8,142,0,0,0,0,0,0
3283,M77271,M,302.4,313.1,1452,33.6,180,0,0,0,0,0,0
3284,M34315,M,301.6,311.7,1176,32.5,120,0,0,0,0,0,0
3285,L27422,L,301.8,310.9,1562,30.4,90,0,0,0,0,0,0
3286,L49137,L,302.5,312.1,1404,44.5,32,0,0,0,0,0,0
3287,L82663,L,300.8,311.4,1553,36.8,198,0,0,0,0,0,0
3288,M58232,M,303.0,313.6,1186,51.3,214,0,0,0,0,0,0
3289,H88142,H,300.8,311.4,1533,10.5,99,0,0,0,0,0,0
3290,L42743,L,299.6,308.8,1842,49.1,21,0,0,0,0,0,0
3291,L25636,L,300.0,309.1,1547,43.5,64,0,0,0,0,0,0
3292,M20108,M,300.0,310.1,1399,39.0,57,0,0,0,0,0,0
3293,L83634,L,299.0,309.7,1534,27.0,26,0,0,0,0,0,0
3294,L46180,L,303.3,313.3,1526,23.4,115,0,0,0,0,0,0
3295,H28883,H,300.6,312.1,1930,47.4,202,0,0,0,0,0,0
3296,L54400,L,300.2,310.2,1478,42.3,242,0,0,0,0,0,0
3297,M55999,M,300.8,310.8,1322,42.1,139,0,0,0,0,0,0
3298,L57951,L,306.0,316.6,1541,38.9,187,0,0,0,0,0,0
3299,L17160,L,297.7,309.0,1573,48.4,212,0,0,0,0,0,0
3300,M65262,M,298.3,307.0,1638,34.1,71,0,0,0,0,0,0
3301,L29929,L,297.2,306.1,1673,36.5,204,0,0,0,0,0,0
